,,0
exist,MPSP [$/gal],2.088912220021636
exist,Product GWP disp [kg CO2/gal],0.1967152146151725
exist,Product GWP econ [kg CO2/gal],1.531296882676989
exist,COD in [mg/L],65253.279936062216
exist,COD out [mg/L],38.110932493085016
exist,COD load [kg/hr],26707.131288420438
exist,COD removal,0.9994159537646164
exist,Total CAPEX [MM$],207.74338378762954
exist,WWT CAPEX [MM$],49.41186708943703
exist,WWT CAPEX frac,0.2378504970341171
exist,Annual net electricity [MWh/yr],-219241.87359326353
exist,Annual electricity consumption [MWh/yr],174865.5191480885
exist,WWT annual electricity consumption [MWh/yr],60124.500356284516
exist,WWT annual electricity consumption frac,0.3438327959062463
exist,WWT produced energy [MWh/yr],490243.07793104125
exist,WWT ECR,0.12264222191576109
exist,Clear cache,
new,MPSP [$/gal],1.9632721815765932
new,Product GWP disp [kg CO2/gal],-0.3085125258249505
new,Product GWP econ [kg CO2/gal],1.4523719735653644
new,MPSP_RIN [$/gal],1.4653227556203547
new,Product GWP disp_RIN [kg CO2/gal],0.5045558107219263
new,Product GWP econ_RIN [kg CO2/gal],1.7486132452821261
new,MPSP_no WWT [$/gal],2.1665968592345473
new,Product GWP disp_no WWT [kg CO2/gal],3.247455309188699
new,Product GWP econ_no WWT [kg CO2/gal],3.2474553091887004
new,CO2 cost net [$/tonne CO2],612.4324408831897
new,CO2 cost total [$/tonne CO2],366.70209447177893
new,Product yield [gal/yr],61845423.57284577
new,Net GWP [kg CO2/yr],-19080087.837172583
new,Total GWP [kg CO2/yr],102075651.85823978
new,Product ratio,0.8799606787250631
new,Electricity ratio,0.120039321274937
new,Net GWP_RIN [kg CO2/yr],31204467.830238134
new,Total GWP_RIN [kg CO2/yr],186056337.08033904
new,Product ratio_RIN,0.5812418352236245
new,Electricity ratio_RIN,0.0
new,RNG yield_RIN [kg/yr],49422696.630429566
new,RNG ratio_RIN,0.4187581647763755
new,RNG CF econ_RIN [kg CO2/kg],1.576454049915331
new,Total GWP_no WWT [kg CO2/yr],200840249.13066202
new,Product ratio_no WWT,1.0
new,Electricity ratio_no WWT,4.5710281893093036e-17
new,WW price [¢/kg],-0.36134175037070093
new,WW GWP disp [g CO2/kg],-63.18688984174443
new,WW GWP econ [g CO2/kg],-31.89728879658088
new,COD price [$/tonne],-56.02870403113252
new,COD GWP disp [kg CO2/tonne],-979.7593402807439
new,COD GWP econ [kg CO2/tonne],-494.59099358038077
new,COD in [mg/L],65172.32892397534
new,COD out [mg/L],43.77116570646737
new,COD removal,0.9993283780642929
new,COD annual load [tonne/yr],224463.6288997436
new,Total CAPEX [MM$],175.8812353703274
new,WWT CAPEX [MM$],35.45727035047873
new,WWT CAPEX frac,0.2015978013562478
new,Annual net electricity [MWh/yr],1406.9273001451938
new,Annual electricity consumption [MWh/yr],122410.18004936945
new,WWT annual electricity consumption [MWh/yr],10731.163449220869
new,WWT annual electricity consumption frac,0.0876656128182547
new,WWT produced energy [MWh/yr],611249.7192498433
new,WWT ECR,0.01755610368605273
new,Clear cache,
