,,0
exist,MPSP [$/gal],2.7628921352638125
exist,Product GWP disp [kg CO2/gal],1.6156981972333915
exist,Product GWP econ [kg CO2/gal],1.8486835713791614
exist,COD in [mg/L],41728.587532136786
exist,COD out [mg/L],32.14867129733363
exist,COD load [kg/hr],12447.037786000968
exist,COD removal,0.9992295768153528
exist,Total CAPEX [MM$],232.62740556200302
exist,WWT CAPEX [MM$],46.61862952553034
exist,WWT CAPEX frac,0.2004004189141202
exist,Annual net electricity [MWh/yr],5.960464477539063e-11
exist,Annual electricity consumption [MWh/yr],94086.94364663701
exist,WWT annual electricity consumption [MWh/yr],24451.41995878694
exist,WWT annual electricity consumption frac,0.2598811164556403
exist,WWT produced energy [MWh/yr],131692.15912565327
exist,WWT ECR,0.1856710385882334
exist,Clear cache,
new,MPSP [$/gal],2.492391295886306
new,Product GWP disp [kg CO2/gal],-0.8637811536545432
new,Product GWP econ [kg CO2/gal],1.3657125260101277
new,MPSP_RIN [$/gal],2.024790452621688
new,Product GWP disp_RIN [kg CO2/gal],-0.09844415824073917
new,Product GWP econ_RIN [kg CO2/gal],1.541717456668763
new,MPSP_no WWT [$/gal],2.5291551327489032
new,Product GWP disp_no WWT [kg CO2/gal],1.4573302334866507
new,Product GWP econ_no WWT [kg CO2/gal],1.69094019244395
new,CO2 cost net [$/tonne CO2],610.9737881046698
new,CO2 cost total [$/tonne CO2],477.38936311977403
new,Product yield [gal/yr],34677567.596309476
new,Net GWP [kg CO2/yr],-29953829.344273604
new,Total GWP [kg CO2/yr],75533254.10369849
new,Product ratio,0.627003152450224
new,Electricity ratio,0.07802128528641107
new,Net GWP_RIN [kg CO2/yr],-3413803.9518550187
new,Total GWP_RIN [kg CO2/yr],109499783.53039584
new,Product ratio_RIN,0.48824764391612396
new,Electricity ratio_RIN,3.1133709435102854e-17
new,RNG yield_RIN [kg/yr],24775608.001525763
new,RNG ratio_RIN,0.22900886823490202
new,RNG CF econ_RIN [kg CO2/kg],1.0121415182512745
new,Total GWP_no WWT [kg CO2/yr],85822981.2107724
new,Product ratio_no WWT,0.6832399900066801
new,Electricity ratio_no WWT,1.7439683910704233e-17
new,WW price [¢/kg],-0.09018003771318103
new,WW GWP disp [g CO2/kg],-56.93581799179453
new,WW GWP econ [g CO2/kg],-7.977688328339482
new,COD price [$/tonne],-21.338576049817704
new,COD GWP disp [kg CO2/tonne],-1347.2264072904777
new,COD GWP econ [kg CO2/tonne],-188.76961399976582
new,COD in [mg/L],41728.587473346255
new,COD out [mg/L],31.186996762760394
new,COD removal,0.9992526227545402
new,COD annual load [tonne/yr],59745.33797035181
new,Total CAPEX [MM$],236.46736699401853
new,WWT CAPEX [MM$],25.404224248566575
new,WWT CAPEX frac,0.10743226252106566
new,Annual net electricity [MWh/yr],-189594.86504744148
new,Annual electricity consumption [MWh/yr],121975.2116760064
new,WWT annual electricity consumption [MWh/yr],5211.0051406667435
new,WWT annual electricity consumption frac,0.04272183724106457
new,WWT produced energy [MWh/yr],292769.2533825967
new,WWT ECR,0.01779901776043708
new,Clear cache,
